GloOfs,RelOfs,Child,Parent,Xpos,Ypos,Zpos,Xtile,Ytile,Status,Status_S,Affect,BaseFrame,Frame,OldFrame,Life,WhoShotMe,Model,Model_S,State,Angle,Angle_S,ZAngle,Unknown[0],Unknown[1]
59016,26242,0,0,11648,21376,504,45,83,6,UNDEFINED,0,0,4632,1041,100,0,5,TM_OBJECT,6,38,TA_SOUTH,0,0,0
59046,26272,0,0,19072,16256,520,74,63,6,UNDEFINED,0,0,4631,1040,100,0,5,TM_OBJECT,5,208,TA_WEST,0,0,0
59076,26302,0,0,2432,16256,512,9,63,6,UNDEFINED,0,0,4633,1042,100,0,5,TM_OBJECT,7,104,TA_EAST,0,0,0
59106,26332,0,0,2432,12672,520,9,49,6,UNDEFINED,0,0,4633,1042,100,0,5,TM_OBJECT,7,73,TA_SOUTHEAST,0,0,0
59136,26362,0,0,2432,8832,520,9,34,6,UNDEFINED,0,0,4632,1041,100,0,5,TM_OBJECT,6,40,TA_SOUTH,0,0,0
59166,26392,0,0,19072,9344,512,74,36,6,UNDEFINED,0,0,4634,1043,100,0,5,TM_OBJECT,8,150,TA_NORTH,0,0,0
59196,26422,0,0,5004,20436,256,19,79,4,TS_MAPWHO,0,0,2068,395,40,0,5,TM_OBJECT,38,0,TA_SOUTHWEST,0,0,0
59226,26452,0,0,4992,22656,520,19,88,6,UNDEFINED,0,0,4633,1042,100,0,5,TM_OBJECT,7,107,TA_EAST,0,0,0
59256,26482,0,0,3704,15368,768,14,60,6,UNDEFINED,0,0,8658,1959,65534,0,5,TM_OBJECT,32,0,TA_SOUTHWEST,0,0,0
59286,26512,0,0,6008,15368,640,23,60,7,UNDEFINED,0,0,8658,1959,65534,0,5,TM_OBJECT,37,0,TA_SOUTHWEST,0,0,0
59316,26542,0,28252,7544,14728,896,29,57,6,UNDEFINED,0,0,8267,1960,65534,0,5,TM_OBJECT,32,64,TA_SOUTHEAST,0,0,0
59346,26572,0,0,9080,15112,1152,35,59,6,UNDEFINED,0,0,8658,1959,65534,0,5,TM_OBJECT,32,128,TA_NORTHEAST,0,0,0
59376,26602,0,0,9592,13576,1024,37,53,6,UNDEFINED,0,0,8267,1960,65534,0,5,TM_OBJECT,32,192,TA_NORTHWEST,0,0,0
59406,26632,0,0,9592,10248,1280,37,40,7,UNDEFINED,0,0,8267,1960,65534,0,5,TM_OBJECT,37,192,TA_NORTHWEST,0,0,0
59436,26662,0,0,9592,7688,896,37,30,6,UNDEFINED,0,0,8267,1960,65534,0,5,TM_OBJECT,32,192,TA_NORTHWEST,0,0,0
59466,26692,0,0,9592,5384,1280,37,21,7,UNDEFINED,0,0,8267,1960,65534,0,5,TM_OBJECT,37,192,TA_NORTHWEST,0,0,0
59496,26722,0,0,9592,3592,896,37,14,6,UNDEFINED,0,0,8267,1960,65534,0,5,TM_OBJECT,32,192,TA_NORTHWEST,0,0,0
59526,26752,0,0,7032,5896,768,27,23,7,UNDEFINED,0,0,8267,1960,65534,0,5,TM_OBJECT,37,192,TA_NORTHWEST,0,0,0
59556,26782,0,28312,4732,7428,640,18,29,7,UNDEFINED,0,0,8267,1960,65534,0,5,TM_OBJECT,37,192,TA_NORTHWEST,0,0,0
59586,26812,0,32242,3960,8456,1152,15,33,7,UNDEFINED,0,0,8658,1959,65534,0,5,TM_OBJECT,37,0,TA_SOUTHWEST,0,0,0
59616,26842,0,0,3704,12040,640,14,47,6,UNDEFINED,0,0,8658,1959,65534,0,5,TM_OBJECT,32,0,TA_SOUTHWEST,0,0,0
59646,26872,0,0,5496,11784,768,21,46,7,UNDEFINED,0,0,8658,1959,65534,0,5,TM_OBJECT,37,0,TA_SOUTHWEST,0,0,0
59676,26902,0,0,7544,11144,896,29,43,6,UNDEFINED,0,0,8267,1960,65534,0,5,TM_OBJECT,32,64,TA_SOUTHEAST,0,0,0
59706,26932,0,0,12664,12296,1152,49,48,7,UNDEFINED,0,0,8658,1959,65534,0,5,TM_OBJECT,37,128,TA_NORTHEAST,0,0,0
59736,26962,0,0,13688,14984,1408,53,58,6,UNDEFINED,0,0,8267,1960,65534,0,5,TM_OBJECT,32,192,TA_NORTHWEST,0,0,0
59766,26992,0,27232,12408,15624,1024,48,61,7,UNDEFINED,0,0,8658,1959,65534,0,5,TM_OBJECT,37,0,TA_SOUTHWEST,0,0,0
59796,27022,0,0,14456,7688,768,56,30,6,UNDEFINED,0,0,8658,1959,65534,0,5,TM_OBJECT,32,128,TA_NORTHEAST,0,0,0
59826,27052,0,0,16248,6664,896,63,26,6,UNDEFINED,0,0,8267,1960,65534,0,5,TM_OBJECT,32,192,TA_NORTHWEST,0,0,0
59856,27082,0,34552,12152,6152,896,47,24,6,UNDEFINED,0,0,8658,1959,65534,0,5,TM_OBJECT,32,0,TA_SOUTHWEST,0,0,0
59886,27112,0,0,13432,5640,1280,52,22,7,UNDEFINED,0,0,8267,1960,65534,0,5,TM_OBJECT,37,64,TA_SOUTHEAST,0,0,0
59916,27142,0,0,14328,6152,896,55,24,6,UNDEFINED,0,0,8658,1959,65534,0,5,TM_OBJECT,32,128,TA_NORTHEAST,0,0,0
59946,27172,38458,0,16504,5896,768,64,23,7,UNDEFINED,0,0,8267,1960,65534,0,5,TM_OBJECT,37,192,TA_NORTHWEST,0,0,0
59976,27202,0,33982,16504,5384,512,64,21,6,UNDEFINED,0,0,8231,1966,10,0,5,TM_OBJECT,35,192,TA_NORTHWEST,0,0,0
60006,27232,26992,31132,12448,15728,384,48,61,6,UNDEFINED,0,0,2460,562,50,0,5,TM_OBJECT,26,0,TA_SOUTHWEST,0,0,0
60036,27262,0,0,14456,18440,768,56,72,7,UNDEFINED,0,0,8658,1959,65534,0,5,TM_OBJECT,37,0,TA_SOUTHWEST,0,0,0
60066,27292,0,28552,9592,19720,768,37,77,7,UNDEFINED,0,0,8658,1959,65534,0,5,TM_OBJECT,37,0,TA_SOUTHWEST,0,0,0
60096,27322,0,0,10872,18184,768,42,71,7,UNDEFINED,0,0,8267,1960,65534,0,5,TM_OBJECT,37,64,TA_SOUTHEAST,0,0,0
60126,27352,0,0,8824,20488,768,34,80,6,UNDEFINED,0,0,8267,1960,65534,0,5,TM_OBJECT,32,64,TA_SOUTHEAST,0,0,0
60156,27382,0,28912,7032,22280,768,27,87,6,UNDEFINED,0,0,8658,1959,65534,0,5,TM_OBJECT,32,128,TA_NORTHEAST,0,0,0
60186,27412,0,0,14712,20744,768,57,81,7,UNDEFINED,0,0,8658,1959,65534,0,5,TM_OBJECT,37,0,TA_SOUTHWEST,0,0,0
60216,27442,0,0,17528,20744,768,68,81,7,UNDEFINED,0,0,8658,1959,65534,0,5,TM_OBJECT,37,0,TA_SOUTHWEST,0,0,0
60246,27472,0,0,19056,14800,256,74,57,4,TS_MAPWHO,0,0,2068,395,40,0,5,TM_OBJECT,38,0,TA_SOUTHWEST,0,0,0
60276,27502,0,0,15212,20708,256,59,80,4,TS_MAPWHO,0,1101,4746,1101,50,0,5,TM_OBJECT,12,128,TA_NORTHEAST,0,0,0
60306,27532,0,0,9404,14228,384,36,55,4,TS_MAPWHO,0,1093,4735,1094,50,0,5,TM_OBJECT,12,192,TA_NORTHWEST,0,0,0
60336,27562,0,0,9404,12180,384,36,47,4,TS_MAPWHO,0,1093,4735,1094,50,0,5,TM_OBJECT,12,192,TA_NORTHWEST,0,0,0
60366,27592,40150,0,9404,10132,384,36,39,4,TS_MAPWHO,0,1093,4741,1098,50,0,5,TM_OBJECT,14,192,TA_NORTHWEST,0,0,0
60396,27622,39682,0,9404,8340,384,36,32,4,TS_MAPWHO,0,1093,4741,1098,50,0,5,TM_OBJECT,14,192,TA_NORTHWEST,0,0,0
