GloOfs,RelOfs,Child,Parent,Xpos,Ypos,Zpos,Xtile,Ytile,Status,Status_S,Affect,BaseFrame,Frame,OldFrame,Life,WhoShotMe,Model,Model_S,State,Angle,Angle_S,ZAngle,Unknown
59016,26242,0,0,15488,20608,504,60,80,6,TS_UNKNOWN_2 | TS_MAPWHO,0,0,4632,1041,100,0,5,TM_OBJECT,6,29,TA_SOUTH,0,0,
59046,26272,0,0,10368,4992,504,40,19,6,TS_UNKNOWN_2 | TS_MAPWHO,0,0,4631,1040,100,0,5,TM_OBJECT,5,221,TA_WEST,0,0,
59076,26302,0,0,20352,10368,504,79,40,6,TS_UNKNOWN_2 | TS_MAPWHO,0,0,4631,1040,100,0,5,TM_OBJECT,5,201,TA_NORTHWEST,0,0,
59106,26332,0,0,20444,4484,256,79,17,4,TS_MAPWHO,0,1101,4747,1102,40,0,5,TM_OBJECT,12,192,TA_NORTHWEST,0,0,
59136,26362,0,0,24008,4728,256,93,18,4,TS_MAPWHO,0,1085,4725,1086,40,0,5,TM_OBJECT,12,192,TA_NORTHWEST,0,0,
59166,26392,0,0,24700,4580,256,96,17,4,TS_MAPWHO,0,1109,4758,1109,40,0,5,TM_OBJECT,12,0,TA_SOUTHWEST,0,0,
59196,26422,0,0,21464,9096,256,83,35,4,TS_MAPWHO,0,1093,4735,1094,40,0,5,TM_OBJECT,12,64,TA_SOUTHEAST,0,0,
59226,26452,0,0,18656,6528,384,72,25,4,TS_MAPWHO,0,1093,4735,1094,40,0,5,TM_OBJECT,12,192,TA_NORTHWEST,0,0,
59256,26482,0,0,18652,8836,384,72,34,4,TS_MAPWHO,0,1093,4735,1094,40,0,5,TM_OBJECT,12,192,TA_NORTHWEST,0,0,
59286,26512,0,0,19160,11640,256,74,45,4,TS_MAPWHO,0,1109,4759,1110,40,0,5,TM_OBJECT,12,64,TA_SOUTHEAST,0,0,
59316,26542,0,0,17880,12424,256,69,48,4,TS_MAPWHO,0,1077,4718,1078,40,0,5,TM_OBJECT,12,64,TA_SOUTHEAST,0,0,
59346,26572,0,0,18812,15332,256,73,59,4,TS_MAPWHO,0,1093,4734,1093,40,0,5,TM_OBJECT,12,128,TA_NORTHEAST,0,0,
59376,26602,0,0,19404,14196,256,75,55,4,TS_MAPWHO,0,1109,4759,1110,40,0,5,TM_OBJECT,12,192,TA_NORTHWEST,0,0,
59406,26632,0,0,21104,15312,256,82,59,4,TS_MAPWHO,0,1109,4758,1109,40,0,5,TM_OBJECT,12,0,TA_SOUTHWEST,0,0,
59436,26662,0,0,23648,15312,256,92,59,4,TS_MAPWHO,0,1093,4734,1093,40,0,5,TM_OBJECT,12,0,TA_SOUTHWEST,0,0,
59466,26692,0,0,27088,14720,256,105,57,4,TS_MAPWHO,0,1093,4735,1094,40,0,5,TM_OBJECT,12,64,TA_SOUTHEAST,0,0,
59496,26722,0,0,27080,12664,256,105,49,4,TS_MAPWHO,0,1093,4735,1094,40,0,5,TM_OBJECT,12,64,TA_SOUTHEAST,0,0,
59526,26752,0,0,24184,19688,256,94,76,4,TS_MAPWHO,0,1093,4734,1093,40,0,5,TM_OBJECT,12,128,TA_NORTHEAST,0,0,
59556,26782,0,0,13684,19516,640,53,76,6,TS_UNKNOWN_2 | TS_MAPWHO,0,0,1887,551,50,0,5,TM_OBJECT,19,64,TA_SOUTHEAST,0,0,
59586,26812,0,32032,13684,19260,640,53,75,6,TS_UNKNOWN_2 | TS_MAPWHO,0,0,1887,551,50,0,5,TM_OBJECT,19,64,TA_SOUTHEAST,0,0,
59616,26842,0,0,17000,19912,256,66,77,4,TS_MAPWHO,0,1093,4734,1093,40,0,5,TM_OBJECT,12,128,TA_NORTHEAST,0,0,
59646,26872,0,0,14456,19688,256,56,76,4,TS_MAPWHO,128,1109,4758,1109,40,0,5,TM_OBJECT,12,128,TA_NORTHEAST,0,0,
59676,26902,0,0,10352,19936,256,40,77,4,TS_MAPWHO,0,1093,4734,1093,40,0,5,TM_OBJECT,12,0,TA_SOUTHWEST,0,0,
59706,26932,0,0,8592,15056,256,33,58,4,TS_MAPWHO,0,1093,4734,1093,40,0,5,TM_OBJECT,12,0,TA_SOUTHWEST,0,0,
59736,26962,0,0,9416,12952,256,36,50,4,TS_MAPWHO,0,1093,4735,1094,40,0,5,TM_OBJECT,12,64,TA_SOUTHEAST,0,0,
