GloOfs,RelOfs,Child,Parent,Xpos,Ypos,Zpos,Xtile,Ytile,Status,Status_S,Affect,BaseFrame,Frame,OldFrame,Life,WhoShotMe,Model,Model_S,State,Angle,Angle_S,ZAngle,Unknown
59016,26242,0,0,13184,18560,520,51,72,6,TS_UNKNOWN_2 | TS_MAPWHO,0,0,4632,1041,100,0,5,TM_OBJECT,6,26,TA_SOUTH,0,0,
59046,26272,0,0,15744,18560,512,61,72,6,TS_UNKNOWN_2 | TS_MAPWHO,0,0,4631,1040,100,0,5,TM_OBJECT,5,247,TA_SOUTHWEST,0,0,
59076,26302,0,0,23168,18560,504,90,72,6,TS_UNKNOWN_2 | TS_MAPWHO,0,0,4634,1043,100,0,5,TM_OBJECT,8,188,TA_NORTHWEST,0,0,
59106,26332,0,0,21464,2168,384,83,8,4,TS_MAPWHO,0,1085,4725,1086,40,0,5,TM_OBJECT,12,64,TA_SOUTHEAST,0,0,
59136,26362,0,0,2660,3532,256,10,13,4,TS_MAPWHO,0,1085,4723,1085,40,0,5,TM_OBJECT,12,128,TA_NORTHEAST,0,0,
59166,26392,0,0,2916,7372,256,11,28,4,TS_MAPWHO,0,1085,4723,1085,40,0,5,TM_OBJECT,12,128,TA_NORTHEAST,0,0,
59196,26422,0,0,3968,17360,256,15,67,4,TS_MAPWHO,0,1109,4758,1109,40,0,5,TM_OBJECT,12,128,TA_NORTHEAST,0,0,
59226,26452,0,0,3192,18904,256,12,73,4,TS_MAPWHO,0,1093,4734,1093,40,0,5,TM_OBJECT,12,128,TA_NORTHEAST,0,0,
59256,26482,0,0,23160,5896,1024,90,23,6,TS_UNKNOWN_2 | TS_MAPWHO,0,0,8658,1959,65534,0,5,TM_OBJECT,32,128,TA_NORTHEAST,0,0,
59286,26512,0,0,28024,1800,768,109,7,6,TS_UNKNOWN_2 | TS_MAPWHO,0,0,8267,1960,65534,0,5,TM_OBJECT,32,192,TA_NORTHWEST,0,0,
59316,26542,0,28012,29048,2056,512,113,8,7,TS_NODRAW | TS_UNKNOWN_2 | TS_MAPWHO,0,0,8658,1959,65534,0,5,TM_OBJECT,37,0,TA_SOUTHWEST,0,0,
59346,26572,0,0,29816,2568,512,116,10,7,TS_NODRAW | TS_UNKNOWN_2 | TS_MAPWHO,0,0,8658,1959,65534,0,5,TM_OBJECT,37,0,TA_SOUTHWEST,0,0,
59376,26602,0,28222,28280,6408,896,110,25,6,TS_UNKNOWN_2 | TS_MAPWHO,0,0,8267,1960,65534,0,5,TM_OBJECT,32,64,TA_SOUTHEAST,0,0,
59406,26632,0,0,27640,7176,768,107,28,7,TS_NODRAW | TS_UNKNOWN_2 | TS_MAPWHO,0,0,8658,1959,65534,0,5,TM_OBJECT,37,128,TA_NORTHEAST,0,0,
59436,26662,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,0,TA_SOUTHWEST,0,0,
59466,26692,0,0,10744,22152,1152,41,86,7,TS_NODRAW | TS_UNKNOWN_2 | TS_MAPWHO,0,0,8658,1959,65534,0,5,TM_OBJECT,37,0,TA_SOUTHWEST,0,0,
59496,26722,0,0,10104,22280,896,39,87,6,TS_UNKNOWN_2 | TS_MAPWHO,0,0,8658,1959,65534,0,5,TM_OBJECT,32,0,TA_SOUTHWEST,0,0,
59526,26752,0,0,9208,22152,1152,35,86,6,TS_UNKNOWN_2 | TS_MAPWHO,0,0,8658,1959,65534,0,5,TM_OBJECT,32,0,TA_SOUTHWEST,0,0,
59556,26782,0,0,11640,20232,1408,45,79,6,TS_UNKNOWN_2 | TS_MAPWHO,0,0,8231,1966,5,0,5,TM_OBJECT,35,64,TA_SOUTHEAST,0,0,
59586,26812,0,0,8824,17928,768,34,70,7,TS_NODRAW | TS_UNKNOWN_2 | TS_MAPWHO,0,0,8658,1959,65534,0,5,TM_OBJECT,37,128,TA_NORTHEAST,0,0,
59616,26842,0,0,11640,16904,1408,45,66,6,TS_UNKNOWN_2 | TS_MAPWHO,0,0,8231,1966,11,0,5,TM_OBJECT,35,192,TA_NORTHWEST,0,0,
59646,26872,0,0,11640,15368,1408,45,60,6,TS_UNKNOWN_2 | TS_MAPWHO,0,0,8267,1960,65534,0,5,TM_OBJECT,32,192,TA_NORTHWEST,0,0,
59676,26902,0,0,12152,15368,896,47,60,6,TS_UNKNOWN_2 | TS_MAPWHO,0,0,8267,1960,65534,0,5,TM_OBJECT,32,192,TA_NORTHWEST,0,0,
59706,26932,0,28492,2936,18952,896,11,74,6,TS_UNKNOWN_2 | TS_MAPWHO,0,0,8658,1959,65534,0,5,TM_OBJECT,32,0,TA_SOUTHWEST,0,0,
59736,26962,0,0,3960,18056,1280,15,70,6,TS_UNKNOWN_2 | TS_MAPWHO,0,0,8267,1960,65534,0,5,TM_OBJECT,32,64,TA_SOUTHEAST,0,0,
59766,26992,0,0,16760,5896,896,65,23,6,TS_UNKNOWN_2 | TS_MAPWHO,0,0,8267,1960,65534,0,5,TM_OBJECT,32,192,TA_NORTHWEST,0,0,
59796,27022,0,0,2424,7432,896,9,29,6,TS_UNKNOWN_2 | TS_MAPWHO,0,0,8658,1959,65534,0,5,TM_OBJECT,32,0,TA_SOUTHWEST,0,0,
59826,27052,0,0,3960,6664,1280,15,26,7,TS_NODRAW | TS_UNKNOWN_2 | TS_MAPWHO,0,0,8267,1960,65534,0,5,TM_OBJECT,37,64,TA_SOUTHEAST,0,0,
59856,27082,0,28762,2860,3620,256,11,14,6,TS_UNKNOWN_2 | TS_MAPWHO,0,0,2460,562,50,0,5,TM_OBJECT,26,64,TA_SOUTHEAST,0,0,
59886,27112,0,28642,2760,7464,256,10,29,6,TS_UNKNOWN_2 | TS_MAPWHO,0,0,2460,562,50,0,5,TM_OBJECT,26,64,TA_SOUTHEAST,0,0,
59916,27142,0,0,7304,12760,256,28,49,4,TS_MAPWHO,0,0,2068,395,40,0,5,TM_OBJECT,38,128,TA_NORTHEAST,0,0,
59946,27172,0,0,10112,10720,256,39,41,4,TS_MAPWHO,0,1093,4734,1093,40,0,5,TM_OBJECT,12,128,TA_NORTHEAST,0,0,
59976,27202,0,0,23160,15832,256,90,61,4,TS_MAPWHO,0,0,2068,395,40,0,5,TM_OBJECT,38,128,TA_NORTHEAST,0,0,
60006,27232,0,0,22580,15996,640,88,62,6,TS_UNKNOWN_2 | TS_MAPWHO,0,1073,4970,1073,50,0,5,TM_OBJECT,10,128,TA_NORTHEAST,0,0,
60036,27262,0,27292,22324,15996,640,87,62,6,TS_UNKNOWN_2 | TS_MAPWHO,0,1073,4666,1073,50,0,5,TM_OBJECT,10,128,TA_NORTHEAST,0,0,
