GloOfs,RelOfs,Child,Parent,Xpos,Ypos,Zpos,Xtile,Ytile,Status,Status_S,Affect,BaseFrame,Frame,OldFrame,Life,WhoShotMe,Model,Model_S,State,State_S,Angle,Angle_S,ZAngle,ChildWeapon,ParentWeapon,WhoOwnsWeapon,RepairCount
71016,38242,17666,0,15856,932,256,61,3,5,TS_NODRAW | TS_MAPWHO,0,0,2265,371,299,0,4,TM_WEAPON,5,WS_UZI,191,TA_NORTHWEST,0,0,17666,17666,0
71052,38278,17758,38314,24351,18944,256,95,74,5,TS_NODRAW | TS_MAPWHO,0,0,2027,371,299,0,4,TM_WEAPON,5,WS_UZI,191,TA_NORTHWEST,0,38314,17758,17758,0
71088,38314,38278,0,24351,18944,256,95,74,5,TS_NODRAW | TS_MAPWHO,0,0,2027,371,299,0,4,TM_WEAPON,5,WS_UZI,191,TA_NORTHWEST,0,0,38278,17758,0
71124,38350,17850,0,25375,6347,256,99,24,5,TS_NODRAW | TS_MAPWHO,0,0,2027,371,299,0,4,TM_WEAPON,5,WS_UZI,0,TA_SOUTHWEST,0,0,17850,17850,0
71160,38386,20242,39286,23661,524,512,92,2,5,TS_NODRAW | TS_MAPWHO,0,0,2027,371,299,0,4,TM_WEAPON,5,WS_UZI,192,TA_NORTHWEST,0,0,17942,17942,0
71196,38422,18034,0,1622,8599,256,6,33,5,TS_NODRAW | TS_MAPWHO,0,0,2264,371,299,0,4,TM_WEAPON,5,WS_UZI,113,TA_NORTHEAST,0,0,18034,18034,0
71232,38458,18126,0,6566,1023,256,25,3,5,TS_NODRAW | TS_MAPWHO,0,0,2265,371,299,0,4,TM_WEAPON,5,WS_UZI,63,TA_SOUTHEAST,0,0,18126,18126,0
71268,38494,18218,0,24552,11168,256,95,43,5,TS_NODRAW | TS_MAPWHO,0,0,2265,371,299,0,4,TM_WEAPON,5,WS_UZI,3,TA_SOUTHWEST,0,0,18218,18218,0
71304,38530,18310,0,29743,21577,256,116,84,5,TS_NODRAW | TS_MAPWHO,0,0,2266,371,299,0,4,TM_WEAPON,5,WS_UZI,152,TA_NORTH,0,0,18310,18310,0
71340,38566,18402,0,20165,13565,256,78,52,5,TS_NODRAW | TS_MAPWHO,0,0,2027,371,299,0,4,TM_WEAPON,5,WS_UZI,196,TA_NORTHWEST,0,0,18402,18402,0
71376,38602,18494,0,16049,23732,256,62,92,5,TS_NODRAW | TS_MAPWHO,0,0,2027,371,299,0,4,TM_WEAPON,5,WS_UZI,55,TA_SOUTHEAST,0,0,18494,18494,0
71412,38638,18586,0,8977,605,256,35,2,5,TS_NODRAW | TS_MAPWHO,0,0,2265,371,299,0,4,TM_WEAPON,5,WS_UZI,189,TA_NORTHWEST,0,0,18586,18586,0
71448,38674,18862,0,14602,3085,256,57,12,5,TS_NODRAW | TS_MAPWHO,0,0,2264,371,299,0,4,TM_WEAPON,5,WS_UZI,124,TA_NORTHEAST,0,0,18862,18862,0
71484,38710,19046,0,23475,4544,256,91,17,5,TS_NODRAW | TS_MAPWHO,0,0,2027,371,299,0,4,TM_WEAPON,5,WS_UZI,252,TA_SOUTHWEST,0,0,19046,19046,0
71520,38746,18770,0,10140,2012,256,39,7,5,TS_NODRAW | TS_MAPWHO,0,0,2265,371,299,0,4,TM_WEAPON,5,WS_UZI,65,TA_SOUTHEAST,0,0,18770,18770,0
71556,38782,18954,0,23499,7634,256,91,29,5,TS_NODRAW | TS_MAPWHO,0,0,2264,371,299,0,4,TM_WEAPON,5,WS_UZI,56,TA_SOUTHEAST,0,0,18954,18954,0
71592,38818,18678,0,20777,15953,256,81,62,5,TS_NODRAW | TS_MAPWHO,0,0,2265,371,299,0,4,TM_WEAPON,5,WS_UZI,204,TA_NORTHWEST,0,0,18678,18678,0
71628,38854,19598,0,1221,512,384,4,2,5,TS_NODRAW | TS_MAPWHO,0,0,2027,371,299,0,4,TM_WEAPON,5,WS_UZI,193,TA_NORTHWEST,0,0,19598,19598,0
71664,38890,19690,0,7668,21047,256,29,82,5,TS_NODRAW | TS_MAPWHO,0,0,2266,371,299,0,4,TM_WEAPON,5,WS_UZI,52,TA_SOUTHEAST,0,0,19690,19690,0
71700,38926,19782,0,26669,18945,256,104,74,5,TS_NODRAW | TS_MAPWHO,0,0,2027,371,299,0,4,TM_WEAPON,5,WS_UZI,64,TA_SOUTHEAST,0,0,19782,19782,0
71736,38962,19506,0,10071,14352,256,39,56,5,TS_NODRAW | TS_MAPWHO,0,0,2264,371,299,0,4,TM_WEAPON,5,WS_UZI,198,TA_NORTHWEST,0,0,19506,19506,0
71772,38998,19414,39034,23860,18946,256,93,74,5,TS_NODRAW | TS_MAPWHO,0,0,2266,371,299,0,4,TM_WEAPON,5,WS_UZI,192,TA_NORTHWEST,0,39034,19414,19414,0
71808,39034,38998,39070,23860,18946,256,93,74,5,TS_NODRAW | TS_MAPWHO,0,0,2264,371,299,0,4,TM_WEAPON,5,WS_UZI,192,TA_NORTHWEST,0,39070,38998,19414,0
71844,39070,39034,0,23860,18946,256,93,74,5,TS_NODRAW | TS_MAPWHO,0,0,2027,371,299,0,4,TM_WEAPON,5,WS_UZI,192,TA_NORTHWEST,0,0,39034,19414,0
71880,39106,19966,0,21993,11342,256,85,44,5,TS_NODRAW | TS_MAPWHO,0,0,2266,371,299,0,4,TM_WEAPON,5,WS_UZI,131,TA_NORTHEAST,0,0,19966,19966,0
71916,39142,19874,0,11892,24027,256,46,93,5,TS_NODRAW | TS_MAPWHO,0,0,2265,371,299,0,4,TM_WEAPON,5,WS_UZI,70,TA_SOUTHEAST,0,0,19874,19874,0
