GloOfs,RelOfs,Child,Parent,Xpos,Ypos,Zpos,Xtile,Ytile,Status,Status_S,Affect,BaseFrame,Frame,OldFrame,Life,WhoShotMe,Model,Model_S,State,State_S,Angle,ZAngle,ChildHeld,ParentHeld,LinkTo,LinkX,LinkY,LinkZ,MaxSpeed,TravelAngle
56328,23554,0,0,7644,3348,256,29,13,4,TS_INMAPWHO,0,0,2438,538,10,0,2,TM_VEHICLE,28,VS_INDUSTRIAL,128,0,0,0,0,0,0,0,48,0
56370,23596,0,0,28004,2380,256,109,9,4,TS_INMAPWHO,0,0,2052,494,115,0,2,TM_VEHICLE,40,VS_AMBULANCE,0,0,0,0,0,0,0,0,115,0
56412,23638,0,0,1676,4148,256,6,16,4,TS_INMAPWHO,0,0,2037,472,120,0,2,TM_VEHICLE,36,VS_POLICECAR,64,0,0,0,0,0,0,0,120,0
56454,23680,21254,0,15646,1600,256,61,6,4,TS_INMAPWHO,0,0,1684,448,30,0,2,TM_VEHICLE,13,VS_CIVILCAR,64,0,21254,0,0,0,0,0,100,0
56496,23722,21346,0,20538,3648,256,80,14,4,TS_INMAPWHO,0,0,1684,448,30,0,2,TM_VEHICLE,13,VS_CIVILCAR,64,0,21346,0,0,0,0,0,100,0
56538,23764,21438,0,12992,18172,256,50,70,4,TS_INMAPWHO,0,0,1683,446,30,0,2,TM_VEHICLE,13,VS_CIVILCAR,0,0,21438,0,0,0,0,0,100,0
56580,23806,21530,0,14574,14528,256,56,56,4,TS_INMAPWHO,0,0,1686,452,30,0,2,TM_VEHICLE,13,VS_CIVILCAR,192,0,21530,0,0,0,0,0,100,0
56622,23848,21622,0,14368,14912,256,56,58,4,TS_INMAPWHO,0,0,1684,448,30,0,2,TM_VEHICLE,13,VS_CIVILCAR,64,0,21622,0,0,0,0,0,100,0
56664,23890,21714,0,13376,15207,256,52,59,4,TS_INMAPWHO,0,0,2331,522,40,0,2,TM_VEHICLE,17,VS_FIREENGINE,128,0,21714,0,0,0,0,0,110,0
56706,23932,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,VS_NONE,0,0,0,0,0,0,0,0,0,0
56748,23974,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,VS_NONE,0,0,0,0,0,0,0,0,0,0
56790,24016,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,VS_NONE,0,0,0,0,0,0,0,0,0,0
56832,24058,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,VS_NONE,0,0,0,0,0,0,0,0,0,0
56874,24100,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,VS_NONE,0,0,0,0,0,0,0,0,0,0
56916,24142,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,VS_NONE,0,0,0,0,0,0,0,0,0,0
56958,24184,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,VS_NONE,0,0,0,0,0,0,0,0,0,0
57000,24226,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,VS_NONE,0,0,0,0,0,0,0,0,0,0
57042,24268,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,VS_NONE,0,0,0,0,0,0,0,0,0,0
57084,24310,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,VS_NONE,0,0,0,0,0,0,0,0,0,0
57126,24352,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,VS_NONE,0,0,0,0,0,0,0,0,0,0
57168,24394,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,VS_NONE,0,0,0,0,0,0,0,0,0,0
57210,24436,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,VS_NONE,0,0,0,0,0,0,0,0,0,0
57252,24478,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,VS_NONE,0,0,0,0,0,0,0,0,0,0
57294,24520,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,VS_NONE,0,0,0,0,0,0,0,0,0,0
57336,24562,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,VS_NONE,0,0,0,0,0,0,0,0,0,0
57378,24604,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,VS_NONE,0,0,0,0,0,0,0,0,0,0
57420,24646,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,VS_NONE,0,0,0,0,0,0,0,0,0,0
57462,24688,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,VS_NONE,0,0,0,0,0,0,0,0,0,0
57504,24730,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,VS_NONE,0,0,0,0,0,0,0,0,0,0
57546,24772,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,VS_NONE,0,0,0,0,0,0,0,0,0,0
57588,24814,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,VS_NONE,0,0,0,0,0,0,0,0,0,0
57630,24856,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,VS_NONE,0,0,0,0,0,0,0,0,0,0
57672,24898,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,VS_NONE,0,0,0,0,0,0,0,0,0,0
57714,24940,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,VS_NONE,0,0,0,0,0,0,0,0,0,0
57756,24982,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,VS_NONE,0,0,0,0,0,0,0,0,0,0
57798,25024,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,VS_NONE,0,0,0,0,0,0,0,0,0,0
