GloOfs,RelOfs,Child,Parent,Xpos,Ypos,Zpos,Xtile,Ytile,Status,Status_S,Affect,BaseFrame,Frame,OldFrame,Life,WhoShotMe,Model,Model_S,State,Angle,Angle_S,ZAngle,Unknown[0],Unknown[1]
59016,26242,0,0,26240,16512,504,102,64,6,TS_UNKNOWN_2 | TS_MAPWHO,0,0,4632,1041,100,0,5,TM_OBJECT,6,48,TA_SOUTHEAST,0,0,0
59046,26272,0,0,23424,19328,512,91,75,6,TS_UNKNOWN_2 | TS_MAPWHO,0,0,4634,1043,100,0,5,TM_OBJECT,8,147,TA_NORTH,0,0,0
59076,26302,0,0,20096,19328,520,78,75,6,TS_UNKNOWN_2 | TS_MAPWHO,0,0,4633,1042,100,0,5,TM_OBJECT,7,98,TA_EAST,0,0,0
59106,26332,0,0,12160,19328,504,47,75,6,TS_UNKNOWN_2 | TS_MAPWHO,0,0,4631,1040,100,0,5,TM_OBJECT,5,200,TA_NORTHWEST,0,0,0
59136,26362,0,0,20096,4480,512,78,17,6,TS_UNKNOWN_2 | TS_MAPWHO,0,0,4633,1042,100,0,5,TM_OBJECT,7,118,TA_NORTHEAST,0,0,0
59166,26392,0,0,20096,15312,256,78,59,4,TS_MAPWHO,0,0,2068,395,50,0,5,TM_OBJECT,38,0,TA_SOUTHWEST,0,0,0
59196,26422,0,0,20100,7900,256,78,30,4,TS_MAPWHO,0,0,2068,395,50,0,5,TM_OBJECT,38,0,TA_SOUTHWEST,0,0,0
59226,26452,0,0,2152,16328,896,8,63,6,TS_UNKNOWN_2 | TS_MAPWHO,0,573,2840,573,50,0,5,TM_OBJECT,31,128,TA_NORTHEAST,0,0,0
59256,26482,0,0,8048,11232,256,31,43,4,TS_MAPWHO,0,1077,4707,1077,40,0,5,TM_OBJECT,12,0,TA_SOUTHWEST,0,0,0
59286,26512,0,0,10704,11120,256,41,43,4,TS_MAPWHO,0,1093,4735,1094,50,0,5,TM_OBJECT,12,192,TA_NORTHWEST,0,0,0
59316,26542,0,0,28024,20200,256,109,78,4,TS_MAPWHO,0,1093,4734,1093,50,0,5,TM_OBJECT,12,0,TA_SOUTHWEST,0,0,0
59346,26572,0,0,23168,21680,256,90,84,4,TS_MAPWHO,0,1077,4707,1077,40,0,5,TM_OBJECT,12,128,TA_NORTHEAST,0,0,0
59376,26602,0,0,21872,21168,256,85,82,4,TS_MAPWHO,0,1077,4707,1077,40,0,5,TM_OBJECT,12,128,TA_NORTHEAST,0,0,0
59406,26632,0,0,3780,21628,256,14,84,4,TS_MAPWHO,0,1085,4725,1086,40,0,5,TM_OBJECT,12,192,TA_NORTHWEST,0,0,0
59436,26662,0,0,21616,6864,256,84,26,4,TS_MAPWHO,0,1093,4734,1093,40,0,5,TM_OBJECT,12,0,TA_SOUTHWEST,0,0,0
59466,26692,0,0,24784,7808,256,96,30,4,TS_MAPWHO,0,1093,4735,1094,40,0,5,TM_OBJECT,12,64,TA_SOUTHEAST,0,0,0
59496,26722,0,0,27080,5752,256,105,22,4,TS_MAPWHO,0,1109,4759,1110,40,0,5,TM_OBJECT,12,64,TA_SOUTHEAST,0,0,0
59526,26752,0,0,21436,1892,256,83,7,4,TS_MAPWHO,0,1085,4725,1086,50,0,5,TM_OBJECT,12,192,TA_NORTHWEST,0,0,0
59556,26782,0,0,20856,3032,256,81,11,4,TS_MAPWHO,0,1093,4734,1093,40,0,5,TM_OBJECT,12,0,TA_SOUTHWEST,0,0,0
59586,26812,0,0,19072,3024,256,74,11,4,TS_MAPWHO,0,1093,4734,1093,40,0,5,TM_OBJECT,12,128,TA_NORTHEAST,0,0,0
59616,26842,0,0,19644,1892,256,76,7,4,TS_MAPWHO,0,1085,4725,1086,50,0,5,TM_OBJECT,12,192,TA_NORTHWEST,0,0,0
59646,26872,0,0,17284,3036,256,67,11,4,TS_MAPWHO,0,1093,4734,1093,40,0,5,TM_OBJECT,12,0,TA_SOUTHWEST,0,0,0
59676,26902,0,0,14228,2508,384,55,9,4,TS_MAPWHO,0,1093,4734,1093,50,0,5,TM_OBJECT,12,0,TA_SOUTHWEST,0,0,0
59706,26932,0,0,12180,2508,384,47,9,4,TS_MAPWHO,0,1093,4734,1093,50,0,5,TM_OBJECT,12,0,TA_SOUTHWEST,0,0,0
