GloOfs,RelOfs,Child,Parent,Xpos,Ypos,Zpos,Xtile,Ytile,Status,Status_S,Affect,BaseFrame,Frame,OldFrame,Life,WhoShotMe,Model,Model_S,State,State_S,Angle,Angle_S,ZAngle,ChildWeapon,ParentWeapon,WhoOwnsWeapon,RepairCount
71016,38242,5982,0,24836,5612,896,97,21,5,TS_NODRAW | TS_MAPWHO,0,0,2271,373,5,0,4,TM_WEAPON,7,WS_LASER,0,TA_SOUTHWEST,0,0,5982,5982,0
71052,38278,6074,0,24656,5600,896,96,21,5,TS_NODRAW | TS_MAPWHO,0,0,2271,373,5,0,4,TM_WEAPON,7,WS_LASER,0,TA_SOUTHWEST,0,0,6074,6074,0
71088,38314,6166,0,24440,5576,896,95,21,5,TS_NODRAW | TS_MAPWHO,0,0,2271,373,5,0,4,TM_WEAPON,7,WS_LASER,0,TA_SOUTHWEST,0,0,6166,6166,0
71124,38350,6258,0,24148,3756,896,94,14,5,TS_NODRAW | TS_MAPWHO,0,0,2271,373,5,0,4,TM_WEAPON,7,WS_LASER,0,TA_SOUTHWEST,0,0,6258,6258,0
71160,38386,6350,0,23972,3756,896,93,14,5,TS_NODRAW | TS_MAPWHO,0,0,2271,373,5,0,4,TM_WEAPON,7,WS_LASER,0,TA_SOUTHWEST,0,0,6350,6350,0
71196,38422,6534,38458,23796,3756,896,92,14,5,TS_NODRAW | TS_MAPWHO,0,0,2271,373,5,0,4,TM_WEAPON,7,WS_LASER,0,TA_SOUTHWEST,0,0,6442,6442,0
71232,38458,38422,0,23604,3756,896,92,14,5,TS_NODRAW | TS_MAPWHO,0,0,2271,373,5,0,4,TM_WEAPON,7,WS_LASER,0,TA_SOUTHWEST,0,0,6534,6534,0
71268,38494,6626,0,23408,3760,896,91,14,5,TS_NODRAW | TS_MAPWHO,0,0,2271,373,5,0,4,TM_WEAPON,7,WS_LASER,0,TA_SOUTHWEST,0,0,6626,6626,0
71304,38530,6718,0,23208,3752,896,90,14,5,TS_NODRAW | TS_MAPWHO,0,0,2271,373,5,0,4,TM_WEAPON,7,WS_LASER,0,TA_SOUTHWEST,0,0,6718,6718,0
71340,38566,6810,0,23016,3752,896,89,14,5,TS_NODRAW | TS_MAPWHO,0,0,2271,373,5,0,4,TM_WEAPON,7,WS_LASER,0,TA_SOUTHWEST,0,0,6810,6810,0
71376,38602,6902,0,22776,3736,896,88,14,5,TS_NODRAW | TS_MAPWHO,0,0,2271,373,5,0,4,TM_WEAPON,7,WS_LASER,0,TA_SOUTHWEST,0,0,6902,6902,0
71412,38638,7086,38674,22192,3344,512,86,13,5,TS_NODRAW | TS_MAPWHO,0,0,2271,373,5,0,4,TM_WEAPON,7,WS_LASER,0,TA_SOUTHWEST,0,0,6994,6994,0
71448,38674,38638,0,22016,3344,512,86,13,5,TS_NODRAW | TS_MAPWHO,0,0,2271,373,5,0,4,TM_WEAPON,7,WS_LASER,0,TA_SOUTHWEST,0,0,7086,7086,0
71484,38710,7178,0,21940,3436,640,85,13,5,TS_NODRAW | TS_MAPWHO,0,0,2271,373,5,0,4,TM_WEAPON,7,WS_LASER,0,TA_SOUTHWEST,0,0,7178,7178,0
71520,38746,7270,0,22188,5796,896,86,22,5,TS_NODRAW | TS_MAPWHO,0,0,2271,373,5,0,4,TM_WEAPON,7,WS_LASER,0,TA_SOUTHWEST,0,0,7270,7270,0
71556,38782,7730,38926,22388,5804,896,87,22,5,TS_NODRAW | TS_MAPWHO,0,0,2271,373,5,0,4,TM_WEAPON,7,WS_LASER,0,TA_SOUTHWEST,0,0,7362,7362,0
71592,38818,7914,38962,22576,5808,896,88,22,5,TS_NODRAW | TS_MAPWHO,0,0,2271,373,5,0,4,TM_WEAPON,7,WS_LASER,0,TA_SOUTHWEST,0,0,7454,7454,0
71628,38854,7546,0,21808,5872,256,85,22,5,TS_NODRAW | TS_MAPWHO,0,0,2271,373,5,0,4,TM_WEAPON,7,WS_LASER,192,TA_NORTHWEST,0,0,7546,7546,0
71664,38890,7638,0,24672,5744,256,96,22,5,TS_NODRAW | TS_MAPWHO,0,0,2271,373,5,0,4,TM_WEAPON,7,WS_LASER,0,TA_SOUTHWEST,0,0,7638,7638,0
71700,38926,38782,0,22412,5796,256,87,22,5,TS_NODRAW | TS_MAPWHO,0,0,2271,373,5,0,4,TM_WEAPON,7,WS_LASER,0,TA_SOUTHWEST,0,0,7730,7730,0
71736,38962,38818,38998,22592,5792,256,88,22,5,TS_NODRAW | TS_MAPWHO,0,0,2271,373,5,0,4,TM_WEAPON,7,WS_LASER,0,TA_SOUTHWEST,0,0,7822,7822,0
71772,38998,38962,0,22736,5776,256,88,22,5,TS_NODRAW | TS_MAPWHO,0,0,2271,373,5,0,4,TM_WEAPON,7,WS_LASER,0,TA_SOUTHWEST,0,0,7914,7914,0
71808,39034,8098,39070,22636,5188,896,88,20,5,TS_NODRAW | TS_MAPWHO,0,0,2271,373,5,0,4,TM_WEAPON,7,WS_LASER,64,TA_SOUTHEAST,0,0,8006,8006,0
