GloOfs,RelOfs,Child,Parent,Xpos,Ypos,Zpos,Xtile,Ytile,Status,Status_S,Affect,BaseFrame,Frame,OldFrame,Life,WhoShotMe,Model,Model_S,State,State_S,Angle,Angle_S,ZAngle,ChildWeapon,ParentWeapon,WhoOwnsWeapon,RepairCount
71016,38242,5890,38278,16641,10897,256,65,42,5,UNDEFINED,0,0,2259,369,1,0,4,TM_WEAPON,3,WS_GAUSS_GUN,197,TA_NORTHWEST,0,38278,5890,5890,0
71052,38278,38242,38314,16641,10897,256,65,42,5,UNDEFINED,0,0,2029,369,1,0,4,TM_WEAPON,3,WS_GAUSS_GUN,197,TA_NORTHWEST,0,38314,38242,5890,0
71088,38314,38278,0,16641,10897,256,65,42,5,UNDEFINED,0,0,2259,369,1,0,4,TM_WEAPON,3,WS_GAUSS_GUN,197,TA_NORTHWEST,0,0,38278,5890,0
71124,38350,5982,38386,18157,14077,256,70,54,5,UNDEFINED,0,0,2259,369,1,0,4,TM_WEAPON,3,WS_GAUSS_GUN,193,TA_NORTHWEST,0,38386,5982,5982,0
71160,38386,38350,38422,18157,14077,256,70,54,5,UNDEFINED,0,0,2029,369,1,0,4,TM_WEAPON,3,WS_GAUSS_GUN,193,TA_NORTHWEST,0,38422,38350,5982,0
71196,38422,38386,0,18157,14077,256,70,54,5,UNDEFINED,0,0,2259,369,1,0,4,TM_WEAPON,3,WS_GAUSS_GUN,193,TA_NORTHWEST,0,0,38386,5982,0
71232,38458,6074,38494,18430,13986,256,71,54,5,UNDEFINED,0,0,2259,369,1,0,4,TM_WEAPON,3,WS_GAUSS_GUN,128,TA_NORTHEAST,0,38494,6074,6074,0
71268,38494,38458,38530,18430,13986,256,71,54,5,UNDEFINED,0,0,2029,369,1,0,4,TM_WEAPON,3,WS_GAUSS_GUN,128,TA_NORTHEAST,0,38530,38458,6074,0
71304,38530,38494,0,18430,13986,256,71,54,5,UNDEFINED,0,0,2259,369,1,0,4,TM_WEAPON,3,WS_GAUSS_GUN,128,TA_NORTHEAST,0,0,38494,6074,0
71340,38566,7822,38602,17861,11534,256,69,45,5,UNDEFINED,0,0,2259,369,1,0,4,TM_WEAPON,3,WS_GAUSS_GUN,58,TA_SOUTHEAST,0,38602,6166,6166,0
71376,38602,38566,38638,17861,11534,256,69,45,5,UNDEFINED,0,0,2029,369,1,0,4,TM_WEAPON,3,WS_GAUSS_GUN,58,TA_SOUTHEAST,0,38638,38566,6166,0
71412,38638,38602,40510,17861,11534,256,69,45,5,UNDEFINED,0,0,2259,369,1,0,4,TM_WEAPON,3,WS_GAUSS_GUN,58,TA_SOUTHEAST,0,0,38602,6166,0
71448,38674,6258,38710,17421,11511,256,68,44,5,UNDEFINED,0,0,2259,369,1,0,4,TM_WEAPON,3,WS_GAUSS_GUN,42,TA_SOUTH,0,38710,6258,6258,0
71484,38710,38674,38746,17421,11511,256,68,44,5,UNDEFINED,0,0,2029,369,1,0,4,TM_WEAPON,3,WS_GAUSS_GUN,42,TA_SOUTH,0,38746,38674,6258,0
71520,38746,38710,0,17421,11511,256,68,44,5,UNDEFINED,0,0,2259,369,1,0,4,TM_WEAPON,3,WS_GAUSS_GUN,42,TA_SOUTH,0,0,38710,6258,0
71556,38782,6350,38818,17605,10972,256,68,42,5,UNDEFINED,0,0,2259,369,1,0,4,TM_WEAPON,3,WS_GAUSS_GUN,72,TA_SOUTHEAST,0,38818,6350,6350,0
71592,38818,38782,38854,17605,10972,256,68,42,5,UNDEFINED,0,0,2029,369,1,0,4,TM_WEAPON,3,WS_GAUSS_GUN,72,TA_SOUTHEAST,0,38854,38782,6350,0
71628,38854,38818,0,17605,10972,256,68,42,5,UNDEFINED,0,0,2259,369,1,0,4,TM_WEAPON,3,WS_GAUSS_GUN,72,TA_SOUTHEAST,0,0,38818,6350,0
71664,38890,6442,38926,17237,10885,256,67,42,5,UNDEFINED,0,0,2259,369,1,0,4,TM_WEAPON,3,WS_GAUSS_GUN,62,TA_SOUTHEAST,0,38926,6442,6442,0
71700,38926,38890,38962,17237,10885,256,67,42,5,UNDEFINED,0,0,2029,369,1,0,4,TM_WEAPON,3,WS_GAUSS_GUN,62,TA_SOUTHEAST,0,38962,38890,6442,0
71736,38962,38926,0,17237,10885,256,67,42,5,UNDEFINED,0,0,2259,369,1,0,4,TM_WEAPON,3,WS_GAUSS_GUN,62,TA_SOUTHEAST,0,0,38926,6442,0
71772,38998,6626,39034,14592,13644,256,57,53,5,UNDEFINED,0,0,2259,369,1,0,4,TM_WEAPON,3,WS_GAUSS_GUN,128,TA_NORTHEAST,0,39034,6534,6534,0
71808,39034,38998,39070,14592,13644,256,57,53,5,UNDEFINED,0,0,2029,369,1,0,4,TM_WEAPON,3,WS_GAUSS_GUN,128,TA_NORTHEAST,0,39070,38998,6534,0
71844,39070,39034,39106,14592,13644,256,57,53,5,UNDEFINED,0,0,2259,369,1,0,4,TM_WEAPON,3,WS_GAUSS_GUN,128,TA_NORTHEAST,0,0,39034,6534,0
71880,39106,39070,39142,14614,13755,256,57,53,5,UNDEFINED,0,0,2259,369,1,0,4,TM_WEAPON,3,WS_GAUSS_GUN,129,TA_NORTHEAST,0,39142,6626,6626,0
71916,39142,39106,39178,14614,13755,256,57,53,5,UNDEFINED,0,0,2029,369,1,0,4,TM_WEAPON,3,WS_GAUSS_GUN,129,TA_NORTHEAST,0,39178,39106,6626,0
71952,39178,39142,0,14614,13755,256,57,53,5,UNDEFINED,0,0,2259,369,1,0,4,TM_WEAPON,3,WS_GAUSS_GUN,129,TA_NORTHEAST,0,0,39142,6626,0
71988,39214,6718,39250,14849,14049,256,58,54,5,UNDEFINED,0,0,2259,369,1,0,4,TM_WEAPON,3,WS_GAUSS_GUN,128,TA_NORTHEAST,0,39250,6718,6718,0
72024,39250,39214,39286,14849,14049,256,58,54,5,UNDEFINED,0,0,2029,369,1,0,4,TM_WEAPON,3,WS_GAUSS_GUN,128,TA_NORTHEAST,0,39286,39214,6718,0
72060,39286,39250,0,14849,14049,256,58,54,5,UNDEFINED,0,0,2259,369,1,0,4,TM_WEAPON,3,WS_GAUSS_GUN,128,TA_NORTHEAST,0,0,39250,6718,0
72096,39322,6902,39358,18404,10833,256,71,42,5,UNDEFINED,0,0,2259,369,1,0,4,TM_WEAPON,3,WS_GAUSS_GUN,133,TA_NORTHEAST,0,39358,6810,6810,0
72132,39358,39322,39394,18404,10833,256,71,42,5,UNDEFINED,0,0,2029,369,1,0,4,TM_WEAPON,3,WS_GAUSS_GUN,133,TA_NORTHEAST,0,39394,39322,6810,0
72168,39394,39358,39430,18404,10833,256,71,42,5,UNDEFINED,0,0,2259,369,1,0,4,TM_WEAPON,3,WS_GAUSS_GUN,133,TA_NORTHEAST,0,0,39358,6810,0
72204,39430,39394,39466,18419,10984,256,71,42,5,UNDEFINED,0,0,2259,369,1,0,4,TM_WEAPON,3,WS_GAUSS_GUN,130,TA_NORTHEAST,0,39466,6902,6902,0
72240,39466,39430,39502,18419,10984,256,71,42,5,UNDEFINED,0,0,2029,369,1,0,4,TM_WEAPON,3,WS_GAUSS_GUN,130,TA_NORTHEAST,0,39502,39430,6902,0
72276,39502,39466,0,18419,10984,256,71,42,5,UNDEFINED,0,0,2259,369,1,0,4,TM_WEAPON,3,WS_GAUSS_GUN,130,TA_NORTHEAST,0,0,39466,6902,0
72312,39538,6994,39574,17794,10520,256,69,41,5,UNDEFINED,0,0,2259,369,1,0,4,TM_WEAPON,3,WS_GAUSS_GUN,65,TA_SOUTHEAST,0,39574,6994,6994,0
72348,39574,39538,39610,17794,10520,256,69,41,5,UNDEFINED,0,0,2029,369,1,0,4,TM_WEAPON,3,WS_GAUSS_GUN,65,TA_SOUTHEAST,0,39610,39538,6994,0
72384,39610,39574,0,17794,10520,256,69,41,5,UNDEFINED,0,0,2259,369,1,0,4,TM_WEAPON,3,WS_GAUSS_GUN,65,TA_SOUTHEAST,0,0,39574,6994,0
72420,39646,7086,39682,15388,14229,256,60,55,5,UNDEFINED,0,0,2259,369,1,0,4,TM_WEAPON,3,WS_GAUSS_GUN,3,TA_SOUTHWEST,0,39682,7086,7086,0
72456,39682,39646,39718,15388,14229,256,60,55,5,UNDEFINED,0,0,2029,369,1,0,4,TM_WEAPON,3,WS_GAUSS_GUN,3,TA_SOUTHWEST,0,39718,39646,7086,0
72492,39718,39682,0,15388,14229,256,60,55,5,UNDEFINED,0,0,2259,369,1,0,4,TM_WEAPON,3,WS_GAUSS_GUN,3,TA_SOUTHWEST,0,0,39682,7086,0
72528,39754,7178,39790,17628,10525,256,68,41,5,UNDEFINED,0,0,2259,369,1,0,4,TM_WEAPON,3,WS_GAUSS_GUN,61,TA_SOUTHEAST,0,39790,7178,7178,0
