GloOfs,RelOfs,Child,Parent,Xpos,Ypos,Zpos,Xtile,Ytile,Status,Status_S,Affect,BaseFrame,Frame,OldFrame,Life,WhoShotMe,Model,Model_S,State,State_S,Angle,Angle_S,ZAngle,ChildWeapon,ParentWeapon,WhoOwnsWeapon,RepairCount
71016,38242,23596,0,25024,6910,256,97,26,5,UNDEFINED,0,0,2267,372,1599,0,4,TM_WEAPON,6,WS_MINIGUN,248,TA_SOUTHWEST,0,0,738,738,0
71052,38278,830,0,23736,16649,896,92,65,5,UNDEFINED,0,0,2267,372,1599,0,4,TM_WEAPON,6,WS_MINIGUN,64,TA_SOUTHEAST,0,0,830,830,0
71088,38314,922,0,10230,17135,896,39,66,5,UNDEFINED,0,0,2267,372,1599,0,4,TM_WEAPON,6,WS_MINIGUN,128,TA_NORTHEAST,0,0,922,922,0
71124,38350,1014,0,9813,7140,896,38,27,5,UNDEFINED,0,0,2267,372,1599,0,4,TM_WEAPON,6,WS_MINIGUN,68,TA_SOUTHEAST,0,0,1014,1014,0
71160,38386,1106,0,24317,7015,896,94,27,5,UNDEFINED,0,0,2267,372,1599,0,4,TM_WEAPON,6,WS_MINIGUN,0,TA_SOUTHWEST,0,0,1106,1106,0
71196,38422,1198,0,18190,4613,1024,71,18,5,UNDEFINED,0,0,2026,372,1599,0,4,TM_WEAPON,6,WS_MINIGUN,64,TA_SOUTHEAST,0,0,1198,1198,0
71232,38458,1290,0,17659,4626,1024,68,18,5,UNDEFINED,0,0,2268,372,1584,0,4,TM_WEAPON,6,WS_MINIGUN,255,TA_SOUTHWEST,239,0,1290,1290,0
71268,38494,1382,0,19648,10816,256,76,42,5,UNDEFINED,0,0,2264,371,299,0,4,TM_WEAPON,5,WS_UZI,79,TA_SOUTHEAST,0,0,1382,1382,0
71304,38530,1474,0,18624,10560,256,72,41,5,UNDEFINED,0,0,2264,371,299,0,4,TM_WEAPON,5,WS_UZI,115,TA_NORTHEAST,0,0,1474,1474,0
71340,38566,1566,0,18880,10688,256,73,41,5,UNDEFINED,0,0,2264,371,299,0,4,TM_WEAPON,5,WS_UZI,108,TA_EAST,0,0,1566,1566,0
71376,38602,1658,0,18240,10560,256,71,41,5,UNDEFINED,0,0,2264,371,299,0,4,TM_WEAPON,5,WS_UZI,143,TA_NORTHEAST,0,0,1658,1658,0
71412,38638,1750,0,18368,10432,256,71,40,5,UNDEFINED,0,0,2264,371,299,0,4,TM_WEAPON,5,WS_UZI,137,TA_NORTHEAST,0,0,1750,1750,0
71448,38674,1842,0,18368,10944,256,71,42,5,UNDEFINED,0,0,2264,371,299,0,4,TM_WEAPON,5,WS_UZI,148,TA_NORTH,0,0,1842,1842,0
71484,38710,2026,0,21056,11200,256,82,43,5,UNDEFINED,0,0,2264,371,299,0,4,TM_WEAPON,5,WS_UZI,148,TA_NORTH,0,0,2026,2026,0
71520,38746,1934,0,21184,10944,256,82,42,5,UNDEFINED,0,0,2264,371,299,0,4,TM_WEAPON,5,WS_UZI,130,TA_NORTHEAST,0,0,1934,1934,0
71556,38782,2302,0,11976,15416,384,46,60,5,UNDEFINED,0,0,2276,375,199,0,4,TM_WEAPON,9,WS_LONG_RANGE,64,TA_SOUTHEAST,0,0,2302,2302,0
71592,38818,2210,26932,12668,14980,256,49,58,5,UNDEFINED,0,0,2264,371,299,0,4,TM_WEAPON,5,WS_UZI,64,TA_SOUTHEAST,0,0,2210,2210,0
71628,38854,2394,0,16260,14668,256,63,57,5,UNDEFINED,0,0,2264,371,299,0,4,TM_WEAPON,5,WS_UZI,100,TA_EAST,0,0,2394,2394,0
71664,38890,2486,0,16832,14144,256,65,55,5,UNDEFINED,0,0,2264,371,299,0,4,TM_WEAPON,5,WS_UZI,95,TA_EAST,0,0,2486,2486,0
