GloOfs,RelOfs,Child,Parent,Xpos,Ypos,Zpos,Xtile,Ytile,Status,Status_S,Affect,Affect_S,BaseFrame,BaseFrame_S,Frame,OldFrame,Life,WhoShotMe,Model,Model_S,State,State_S,Angle,ZAngle,Unique,Unique_S,HugDistance,Persuaded,ChildHeld,ParentHeld,Command,StartCommand,Target,Data,GotoX,GotoY,GotoZ,LastXpos,LastYpos,HugGotoZ,ChildWeapon,Equipment,ParentRank,RankPosition,Count,WeaponHolding,WeaponInUse,Level1Base,Level1Balance,Level1True,Level1Fixed,Level2Base,Level2Balance,Level2True,Level2Fixed,Level3Base,Level3Balance,Level3True,Level3Fixed,LevelRecovery,Speed,MaxSpeed,BaseSpeed,OldState,OldState_S,NewState,NewState_S,HugChangeDir,HugStartAngle,HitAngle
32776,2,0,94,6476,7876,256,25,30,4,TS_INMAPWHO,0,PA_NONE,1,PB_AGENT,377,1,16,0,1,TM_PERSON,0,PS_NONE,0,0,2,PU_AGENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,128,128,0,128,128,128,0,128,128,128,0,229,0,32,32,0,PS_NONE,0,PS_NONE,0,0,0
32868,94,2,0,6636,7860,256,25,30,4,TS_INMAPWHO,0,PA_NONE,1,PB_AGENT,377,1,16,0,1,TM_PERSON,0,PS_NONE,0,0,2,PU_AGENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,128,128,0,128,128,128,0,128,128,128,0,213,0,32,32,0,PS_NONE,0,PS_NONE,0,0,0
32960,186,0,0,6800,7872,256,26,30,4,TS_INMAPWHO,0,PA_NONE,1,PB_AGENT,377,1,16,0,1,TM_PERSON,0,PS_NONE,0,0,2,PU_AGENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,128,128,0,128,128,128,0,128,128,128,0,201,0,32,32,0,PS_NONE,0,PS_NONE,0,0,0
33052,278,0,370,6932,7868,256,27,30,4,TS_INMAPWHO,0,PA_NONE,1,PB_AGENT,377,1,16,0,1,TM_PERSON,0,PS_NONE,0,0,2,PU_AGENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,128,128,0,128,128,128,0,128,128,128,0,190,0,32,32,0,PS_NONE,0,PS_NONE,0,0,0
33144,370,278,462,6936,7864,256,27,30,4,TS_INMAPWHO,0,PA_NONE,1,PB_AGENT,377,1,16,0,1,TM_PERSON,0,PS_NONE,0,0,2,PU_AGENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,128,128,0,128,128,128,0,128,128,128,0,182,0,32,32,0,PS_NONE,0,PS_NONE,0,0,0
33236,462,370,554,6936,7864,256,27,30,4,TS_INMAPWHO,0,PA_NONE,1,PB_AGENT,377,1,16,0,1,TM_PERSON,0,PS_NONE,0,0,2,PU_AGENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,128,128,0,128,128,128,0,128,128,128,0,179,0,32,32,0,PS_NONE,0,PS_NONE,0,0,0
33328,554,462,646,6936,7864,256,27,30,4,TS_INMAPWHO,0,PA_NONE,1,PB_AGENT,377,1,16,0,1,TM_PERSON,0,PS_NONE,0,0,2,PU_AGENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,128,128,0,128,128,128,0,128,128,128,0,174,0,32,32,0,PS_NONE,0,PS_NONE,0,0,0
33420,646,554,0,6936,7864,256,27,30,4,TS_INMAPWHO,0,PA_NONE,1,PB_AGENT,377,1,16,0,1,TM_PERSON,0,PS_NONE,0,0,2,PU_AGENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,128,128,0,128,128,128,0,128,128,128,0,170,0,32,32,0,PS_NONE,0,PS_NONE,0,0,0
33512,738,0,0,10952,3448,256,42,13,4,TS_INMAPWHO,0,PA_NONE,1,PB_AGENT,377,1,16,0,1,TM_PERSON,0,PS_NONE,0,0,2,PU_AGENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,128,128,0,128,128,128,0,128,128,128,0,54,0,32,32,0,PS_NONE,0,PS_NONE,0,0,0
33604,830,0,16194,15136,3200,256,59,12,4,TS_INMAPWHO,0,PA_NONE,1,PB_AGENT,377,1,16,0,1,TM_PERSON,0,PS_NONE,0,0,2,PU_AGENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,128,128,0,128,128,128,0,128,128,128,0,29,0,32,32,0,PS_NONE,0,PS_NONE,0,0,0
33696,922,0,0,17916,3028,256,69,11,4,TS_INMAPWHO,0,PA_NONE,1,PB_AGENT,377,1,16,0,1,TM_PERSON,0,PS_NONE,0,0,2,PU_AGENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,128,128,0,128,128,128,0,128,128,128,0,10,0,32,32,0,PS_NONE,0,PS_NONE,0,0,0
33788,1014,0,0,21424,3040,256,83,11,4,TS_INMAPWHO,0,PA_NONE,1,PB_AGENT,377,1,16,0,1,TM_PERSON,0,PS_NONE,0,0,2,PU_AGENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,128,128,0,128,128,128,0,128,128,128,0,236,0,32,32,0,PS_NONE,0,PS_NONE,0,0,0
