Index,GloOfs,RelOfs,Child,Parent,Xpos,Ypos,Zpos,Xtile,Ytile,Status,Status_S,Affect,BaseFrame,BaseFrame_S,Frame,OldFrame,Life,WhoShotMe,Model,Model_S,State,State_S,Angle,Angle_S,ZAngle,Connected
0,59016,26242,0,0,3240,20872,256,12,81,4,TS_MAPWHO,0,1077,OB_DOOR_LARGE_CIRCULAR,4718,1078,50,0,5,TM_OBJECT,12,OS_DOOR,64,TA_SOUTHEAST,0,0
1,59046,26272,0,0,1904,16352,256,7,63,4,TS_MAPWHO,0,1085,OB_DOOR_SMALL_UPDOWN,4723,1085,40,0,5,TM_OBJECT,12,OS_DOOR,128,TA_NORTHEAST,0,0
2,59076,26302,0,0,2524,14980,256,9,58,4,TS_MAPWHO,0,1085,OB_DOOR_SMALL_UPDOWN,4725,1086,40,0,5,TM_OBJECT,12,OS_DOOR,192,TA_NORTHWEST,0,0
3,59106,26332,38530,0,4716,12260,256,18,47,4,TS_MAPWHO,0,1109,OB_DOOR_SMALL_UPDOWN2,4758,1109,40,0,5,TM_OBJECT,12,OS_DOOR,128,TA_NORTHEAST,0,0
4,59136,26362,0,0,7040,10976,256,27,42,4,TS_MAPWHO,0,1109,OB_DOOR_SMALL_UPDOWN2,4758,1109,40,0,5,TM_OBJECT,12,OS_DOOR,0,TA_SOUTHWEST,0,0
5,59166,26392,0,0,8308,10972,256,32,42,4,TS_MAPWHO,0,1109,OB_DOOR_SMALL_UPDOWN2,4758,1109,40,0,5,TM_OBJECT,12,OS_DOOR,0,TA_SOUTHWEST,0,0
6,59196,26422,0,0,9852,11732,256,38,45,4,TS_MAPWHO,0,1109,OB_DOOR_SMALL_UPDOWN2,4758,1109,40,0,5,TM_OBJECT,12,OS_DOOR,0,TA_SOUTHWEST,0,0
7,59226,26452,0,0,11132,11732,256,43,45,4,TS_MAPWHO,0,1109,OB_DOOR_SMALL_UPDOWN2,4758,1109,40,0,5,TM_OBJECT,12,OS_DOOR,0,TA_SOUTHWEST,0,0
8,59256,26482,0,0,28080,19584,256,109,76,4,TS_MAPWHO,0,1101,OB_DOOR_LARGE_LEFTRIGHT,4747,1102,50,0,5,TM_OBJECT,12,OS_DOOR,64,TA_SOUTHEAST,0,0
9,59286,26512,0,0,19564,12996,256,76,50,4,TS_MAPWHO,0,1093,OB_DOOR_SMALL_SWING,4734,1093,40,0,5,TM_OBJECT,12,OS_DOOR,128,TA_NORTHEAST,0,0
10,59316,26542,0,0,15732,11996,256,61,46,4,TS_MAPWHO,0,1093,OB_DOOR_SMALL_SWING,4734,1093,40,0,5,TM_OBJECT,12,OS_DOOR,0,TA_SOUTHWEST,0,0
11,59346,26572,0,0,12904,2264,256,50,8,4,TS_MAPWHO,0,1109,OB_DOOR_SMALL_UPDOWN2,4758,1109,40,0,5,TM_OBJECT,12,OS_DOOR,0,TA_SOUTHWEST,0,0
12,59376,26602,0,0,12412,4580,256,48,17,4,TS_MAPWHO,0,1109,OB_DOOR_SMALL_UPDOWN2,4758,1109,40,0,5,TM_OBJECT,12,OS_DOOR,0,TA_SOUTHWEST,0,0
13,59406,26632,0,0,10360,4584,256,40,17,4,TS_MAPWHO,0,1109,OB_DOOR_SMALL_UPDOWN2,4758,1109,40,0,5,TM_OBJECT,12,OS_DOOR,0,TA_SOUTHWEST,0,0
14,59436,26662,0,0,2680,15496,1024,10,60,6,TS_UNKNOWN_2 | TS_MAPWHO,0,0,OB_NONE,8267,1960,65534,0,5,TM_OBJECT,32,OS_WINDOWS_TRANSPARENT,192,TA_NORTHWEST,0,0
