GloOfs,RelOfs,Index,Prev,Next,UseCount,Player,Flags,ActionType,ActionType_S,Action,Action_S,X,Y,Z
114090,81316,0,0,0,0,255,0,3,CPOAT_ATTACK_PLAYER,0,CPOA_NONE,0,0,0
114105,81331,1,0,0,0,0,64,0,CPOAT_NONE,0,CPOA_NONE,0,0,0
114120,81346,2,0,0,0,255,0,3,CPOAT_ATTACK_PLAYER,0,CPOA_NONE,0,0,0
114135,81361,3,0,0,0,0,64,0,CPOAT_NONE,0,CPOA_NONE,0,0,0
114150,81376,4,0,0,0,0,64,0,CPOAT_NONE,0,CPOA_NONE,0,0,0
114165,81391,5,0,0,0,0,64,0,CPOAT_NONE,0,CPOA_NONE,0,0,0
114180,81406,6,0,0,0,0,64,0,CPOAT_NONE,0,CPOA_NONE,0,0,0
114195,81421,7,0,0,0,0,64,0,CPOAT_NONE,0,CPOA_NONE,0,0,0
114210,81436,8,0,0,0,0,64,0,CPOAT_NONE,0,CPOA_NONE,0,0,0
114225,81451,9,0,0,0,0,64,0,CPOAT_NONE,0,CPOA_NONE,0,0,0
114240,81466,10,0,0,0,0,64,0,CPOAT_NONE,0,CPOA_NONE,0,0,0
114255,81481,11,0,0,0,0,64,0,CPOAT_NONE,0,CPOA_NONE,0,0,0
114270,81496,12,0,0,0,0,64,0,CPOAT_NONE,0,CPOA_NONE,0,0,0
114285,81511,13,0,0,0,0,64,0,CPOAT_NONE,0,CPOA_NONE,0,0,0
114300,81526,14,0,0,0,0,64,0,CPOAT_NONE,0,CPOA_NONE,0,0,0
114315,81541,15,0,0,0,0,64,0,CPOAT_NONE,0,CPOA_NONE,0,0,0
114330,81556,16,0,0,0,0,64,0,CPOAT_NONE,0,CPOA_NONE,0,0,0
114345,81571,17,0,0,0,0,64,0,CPOAT_NONE,0,CPOA_NONE,0,0,0
114360,81586,18,0,0,0,0,64,0,CPOAT_NONE,0,CPOA_NONE,0,0,0
114375,81601,19,0,0,0,0,64,0,CPOAT_NONE,0,CPOA_NONE,0,0,0
114390,81616,20,0,0,0,0,64,0,CPOAT_NONE,0,CPOA_NONE,0,0,0
114405,81631,21,0,0,0,0,64,0,CPOAT_NONE,0,CPOA_NONE,0,0,0
114420,81646,22,0,0,0,0,64,0,CPOAT_NONE,0,CPOA_NONE,0,0,0
