Index,GloOfs,RelOfs,Child,Parent,Xpos,Ypos,Zpos,Xtile,Ytile,Status,Status_S,Affect,BaseFrame,Frame,OldFrame,Life,WhoShotMe,Model,Model_S,State,Angle,Angle_S,ZAngle,Unknown
0,59016,26242,0,0,8064,4480,520,31,17,6,TS_UNKNOWN_2 | TS_MAPWHO,0,0,4634,1043,100,0,5,TM_OBJECT,8,182,TA_NORTHWEST,0,0,
1,59046,26272,0,0,10880,4480,504,42,17,6,TS_UNKNOWN_2 | TS_MAPWHO,0,0,4633,1042,100,0,5,TM_OBJECT,7,106,TA_EAST,0,0,
2,59076,26302,0,0,24192,4480,504,94,17,6,TS_UNKNOWN_2 | TS_MAPWHO,0,0,4632,1041,100,0,5,TM_OBJECT,6,10,TA_SOUTHWEST,0,0,
3,59106,26332,0,0,6848,4496,256,26,17,4,TS_MAPWHO,0,0,2059,392,50,0,5,TM_OBJECT,38,64,TA_SOUTHEAST,0,0,
4,59136,26362,0,0,30648,4504,256,119,17,4,TS_MAPWHO,0,0,2059,392,50,0,5,TM_OBJECT,38,192,TA_NORTHWEST,0,0,
5,59166,26392,0,0,24192,9600,520,94,37,6,TS_UNKNOWN_2 | TS_MAPWHO,0,0,4633,1042,100,0,5,TM_OBJECT,7,101,TA_EAST,0,0,
6,59196,26422,0,0,10348,10980,256,40,42,4,TS_MAPWHO,0,1085,4723,1085,40,0,5,TM_OBJECT,12,0,TA_SOUTHWEST,0,0,
7,59226,26452,0,0,11884,10212,256,46,39,4,TS_MAPWHO,0,1077,4707,1077,40,0,5,TM_OBJECT,12,0,TA_SOUTHWEST,0,0,
8,59256,26482,0,0,5308,20116,256,20,78,4,TS_MAPWHO,0,1093,4735,1094,50,0,5,TM_OBJECT,12,64,TA_SOUTHEAST,0,0,
9,59286,26512,0,0,4488,22232,256,17,86,4,TS_MAPWHO,0,1101,4746,1101,50,0,5,TM_OBJECT,12,128,TA_NORTHEAST,0,0,
10,59316,26542,0,0,19316,12780,256,75,49,4,TS_MAPWHO,0,1093,4734,1093,40,0,5,TM_OBJECT,12,128,TA_NORTHEAST,0,0,
11,59346,26572,0,0,20412,12148,256,79,47,4,TS_MAPWHO,0,1085,4725,1086,40,0,5,TM_OBJECT,12,192,TA_NORTHWEST,0,0,
12,59376,26602,0,0,20836,11724,256,81,45,4,TS_MAPWHO,0,1085,4723,1085,40,0,5,TM_OBJECT,12,0,TA_SOUTHWEST,0,0,
13,59406,26632,0,0,9920,7536,256,38,29,4,TS_MAPWHO,0,1085,4725,1086,40,0,5,TM_OBJECT,12,64,TA_SOUTHEAST,0,0,
14,59436,26662,0,0,12144,7888,256,47,30,4,TS_MAPWHO,0,1085,4723,1085,40,0,5,TM_OBJECT,12,128,TA_NORTHEAST,0,0,
15,59466,26692,0,0,20072,8408,256,78,32,4,TS_MAPWHO,0,1093,4734,1093,50,0,5,TM_OBJECT,12,128,TA_NORTHEAST,0,0,
16,59496,26722,0,0,26476,6084,256,103,23,4,TS_MAPWHO,0,1109,4758,1109,40,0,5,TM_OBJECT,12,128,TA_NORTHEAST,0,0,
17,59526,26752,0,0,28584,9336,256,111,36,4,TS_MAPWHO,0,1101,4747,1102,40,0,5,TM_OBJECT,12,192,TA_NORTHWEST,0,0,
18,59556,26782,0,0,24280,3192,384,94,12,4,TS_MAPWHO,0,1085,4725,1086,50,0,5,TM_OBJECT,12,192,TA_NORTHWEST,0,0,
19,59586,26812,0,0,19320,2280,256,75,8,4,TS_MAPWHO,0,1101,4746,1101,40,0,5,TM_OBJECT,12,0,TA_SOUTHWEST,0,0,
20,59616,26842,0,0,9068,2260,256,35,8,4,TS_MAPWHO,0,1101,4746,1101,40,0,5,TM_OBJECT,12,0,TA_SOUTHWEST,0,0,
21,59646,26872,0,0,4720,3536,256,18,13,4,TS_MAPWHO,0,1093,4734,1093,40,0,5,TM_OBJECT,12,0,TA_SOUTHWEST,0,0,
22,59676,26902,0,0,3028,2172,256,11,8,4,TS_MAPWHO,0,1093,4735,1094,40,0,5,TM_OBJECT,12,64,TA_SOUTHEAST,0,0,
23,59706,26932,0,0,1752,8568,256,6,33,4,TS_MAPWHO,0,1093,4735,1094,40,0,5,TM_OBJECT,12,64,TA_SOUTHEAST,0,0,
24,59736,26962,0,0,4224,8576,520,16,33,6,TS_UNKNOWN_2 | TS_MAPWHO,0,0,4631,1040,100,0,5,TM_OBJECT,5,209,TA_WEST,0,0,
25,59766,26992,0,0,1656,10248,1152,6,40,7,TS_NODRAW | TS_UNKNOWN_2 | TS_MAPWHO,0,0,8267,1960,65534,0,5,TM_OBJECT,37,192,TA_NORTHWEST,0,0,
26,59796,27022,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,0,TA_SOUTHWEST,0,0,
27,59826,27052,0,0,3192,6920,1280,12,27,7,TS_NODRAW | TS_UNKNOWN_2 | TS_MAPWHO,0,0,8267,1960,65534,0,5,TM_OBJECT,37,192,TA_NORTHWEST,0,0,
28,59856,27082,0,28612,2936,6152,512,11,24,6,TS_UNKNOWN_2 | TS_MAPWHO,0,0,8658,1959,65534,0,5,TM_OBJECT,32,0,TA_SOUTHWEST,0,0,
29,59886,27112,0,0,1656,5640,512,6,22,7,TS_NODRAW | TS_UNKNOWN_2 | TS_MAPWHO,0,0,8658,1959,65534,0,5,TM_OBJECT,37,0,TA_SOUTHWEST,0,0,
30,59916,27142,0,0,3448,4616,640,13,18,6,TS_UNKNOWN_2 | TS_MAPWHO,0,0,8665,1964,30,0,5,TM_OBJECT,35,64,TA_SOUTHEAST,0,0,
31,59946,27172,0,0,3192,2440,1024,12,9,6,TS_UNKNOWN_2 | TS_MAPWHO,0,0,8267,1960,65534,0,5,TM_OBJECT,32,192,TA_NORTHWEST,0,0,
32,59976,27202,0,0,4216,3592,512,16,14,7,TS_NODRAW | TS_UNKNOWN_2 | TS_MAPWHO,0,0,8658,1959,65534,0,5,TM_OBJECT,37,0,TA_SOUTHWEST,0,0,
33,60006,27232,0,0,6008,2568,896,23,10,6,TS_UNKNOWN_2 | TS_MAPWHO,0,0,8267,1960,65534,0,5,TM_OBJECT,32,64,TA_SOUTHEAST,0,0,
34,60036,27262,0,0,26232,3336,512,102,13,6,TS_UNKNOWN_2 | TS_MAPWHO,0,0,8658,1959,65534,0,5,TM_OBJECT,32,128,TA_NORTHEAST,0,0,
35,60066,27292,0,0,28024,3592,640,109,14,6,TS_UNKNOWN_2 | TS_MAPWHO,0,0,8671,1962,65534,0,5,TM_OBJECT,33,192,TA_NORTHWEST,0,0,
36,60096,27322,0,0,29304,2056,1024,114,8,6,TS_UNKNOWN_2 | TS_MAPWHO,0,0,8267,1960,65534,0,5,TM_OBJECT,32,64,TA_SOUTHEAST,0,0,
37,60126,27352,0,27382,29560,4104,1024,115,16,6,TS_UNKNOWN_2 | TS_MAPWHO,0,0,8658,1959,65534,0,5,TM_OBJECT,32,128,TA_NORTHEAST,0,0,
38,60156,27382,27352,0,29560,4104,1024,115,16,6,TS_UNKNOWN_2 | TS_MAPWHO,0,0,8658,1959,65534,0,5,TM_OBJECT,32,128,TA_NORTHEAST,0,0,
39,60186,27412,0,0,30328,5640,1152,118,22,7,TS_NODRAW | TS_UNKNOWN_2 | TS_MAPWHO,0,0,8267,1960,65534,0,5,TM_OBJECT,37,192,TA_NORTHWEST,0,0,
40,60216,27442,0,0,26488,6152,1152,103,24,7,TS_NODRAW | TS_UNKNOWN_2 | TS_MAPWHO,0,0,8658,1959,65534,0,5,TM_OBJECT,37,0,TA_SOUTHWEST,0,0,
