GloOfs,RelOfs,Child,Parent,Xpos,Ypos,Zpos,Xtile,Ytile,Status,Status_S,Affect,BaseFrame,Frame,OldFrame,Life,WhoShotMe,Model,Model_S,State,Angle,Angle_S,ZAngle,Unknown[0],Unknown[1]
59016,26242,0,0,13184,13440,520,51,52,6,UNDEFINED,0,0,4633,1042,100,0,5,TM_OBJECT,7,121,TA_NORTHEAST,0,0,0
59046,26272,0,0,13184,12160,512,51,47,6,UNDEFINED,0,0,4633,1042,100,0,5,TM_OBJECT,7,98,TA_EAST,0,0,0
59076,26302,0,0,18560,12160,504,72,47,6,UNDEFINED,0,0,4634,1043,100,0,5,TM_OBJECT,8,184,TA_NORTHWEST,0,0,0
59106,26332,0,0,13184,8832,520,51,34,6,UNDEFINED,0,0,4633,1042,100,0,5,TM_OBJECT,7,110,TA_EAST,0,0,0
59136,26362,0,0,20948,2940,256,81,11,4,TS_INMAPWHO,0,1093,4735,1094,40,0,5,TM_OBJECT,12,64,TA_SOUTHEAST,0,0,0
59166,26392,0,0,20948,4988,256,81,19,4,TS_INMAPWHO,0,1093,4735,1094,40,0,5,TM_OBJECT,12,64,TA_SOUTHEAST,0,0,0
59196,26422,0,0,20948,7036,256,81,27,4,TS_INMAPWHO,0,1093,4735,1094,40,0,5,TM_OBJECT,12,64,TA_SOUTHEAST,0,0,0
59226,26452,0,0,20948,9084,256,81,35,4,TS_INMAPWHO,0,1093,4735,1094,40,0,5,TM_OBJECT,12,64,TA_SOUTHEAST,0,0,0
59256,26482,0,0,20348,10452,256,79,40,4,TS_INMAPWHO,0,1093,4734,1093,40,0,5,TM_OBJECT,12,128,TA_NORTHEAST,0,0,0
59286,26512,0,0,20956,14724,256,81,57,4,TS_INMAPWHO,0,1093,4735,1094,40,0,5,TM_OBJECT,12,192,TA_NORTHWEST,0,0,0
59316,26542,0,0,20956,16772,256,81,65,4,TS_INMAPWHO,0,1093,4735,1094,40,0,5,TM_OBJECT,12,192,TA_NORTHWEST,0,0,0
59346,26572,0,0,20956,18820,256,81,73,4,TS_INMAPWHO,0,1093,4735,1094,40,0,5,TM_OBJECT,12,192,TA_NORTHWEST,0,0,0
59376,26602,0,0,20956,20868,256,81,81,4,TS_INMAPWHO,0,1093,4735,1094,40,0,5,TM_OBJECT,12,192,TA_NORTHWEST,0,0,0
59406,26632,0,0,20348,22228,256,79,86,4,TS_INMAPWHO,0,1093,4734,1093,40,0,5,TM_OBJECT,12,0,TA_SOUTHWEST,0,0,0
59436,26662,0,0,16836,20604,256,65,80,4,TS_INMAPWHO,0,1085,4725,1086,40,0,5,TM_OBJECT,12,64,TA_SOUTHEAST,0,0,0
59466,26692,8374,0,15984,16352,256,62,63,4,TS_INMAPWHO,0,1109,4758,1109,40,0,5,TM_OBJECT,12,0,TA_SOUTHWEST,0,0,0
59496,26722,0,0,14460,16356,256,56,63,4,TS_INMAPWHO,0,1109,4758,1109,40,0,5,TM_OBJECT,12,0,TA_SOUTHWEST,0,0,0
59526,26752,0,0,12920,16360,256,50,63,4,TS_INMAPWHO,0,1109,4758,1109,40,0,5,TM_OBJECT,12,0,TA_SOUTHWEST,0,0,0
59556,26782,0,0,11384,16360,256,44,63,4,TS_INMAPWHO,0,1109,4758,1109,40,0,5,TM_OBJECT,12,128,TA_NORTHEAST,0,0,0
59586,26812,0,0,9848,16360,256,38,63,4,TS_INMAPWHO,0,1109,4758,1109,40,0,5,TM_OBJECT,12,0,TA_SOUTHWEST,0,0,0
59616,26842,0,0,11220,20604,256,43,80,4,TS_INMAPWHO,0,1109,4759,1110,40,0,5,TM_OBJECT,12,64,TA_SOUTHEAST,0,0,0
59646,26872,0,0,9332,10956,256,36,42,4,TS_INMAPWHO,0,1093,4734,1093,40,0,5,TM_OBJECT,12,128,TA_NORTHEAST,0,0,0
59676,26902,0,0,12412,10612,1024,48,41,6,UNDEFINED,0,573,2848,573,50,0,5,TM_OBJECT,31,128,TA_NORTHEAST,0,0,0
59706,26932,0,0,11372,3028,256,44,11,4,TS_INMAPWHO,0,1085,4723,1085,40,0,5,TM_OBJECT,12,0,TA_SOUTHWEST,0,0,0
59736,26962,0,0,9324,3028,256,36,11,4,TS_INMAPWHO,0,1085,4723,1085,40,0,5,TM_OBJECT,12,0,TA_SOUTHWEST,0,0,0
59766,26992,0,0,10360,21256,768,40,83,7,UNDEFINED,0,0,8658,1959,65534,0,5,TM_OBJECT,37,0,TA_SOUTHWEST,0,0,0
59796,27022,0,0,11384,20360,896,44,79,7,UNDEFINED,0,0,8267,1960,65534,0,5,TM_OBJECT,37,64,TA_SOUTHEAST,0,0,0
59826,27052,0,0,11384,18696,896,44,73,6,UNDEFINED,0,0,8267,1960,65534,0,5,TM_OBJECT,32,64,TA_SOUTHEAST,0,0,0
59856,27082,0,0,9592,16392,896,37,64,7,UNDEFINED,0,0,8658,1959,65534,0,5,TM_OBJECT,37,128,TA_NORTHEAST,0,0,0
59886,27112,0,0,10616,15752,1280,41,61,6,UNDEFINED,0,0,8267,1960,65534,0,5,TM_OBJECT,32,192,TA_NORTHWEST,0,0,0
59916,27142,0,0,11640,16392,896,45,64,6,UNDEFINED,0,0,8658,1959,65534,0,5,TM_OBJECT,32,0,TA_SOUTHWEST,0,0,0
59946,27172,0,0,12408,16392,384,48,64,6,UNDEFINED,0,0,8235,1965,4,0,5,TM_OBJECT,35,0,TA_SOUTHWEST,0,0,0
